PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508679700.000000 (2016-02-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766700.000000 (2016-02-15 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:44:31 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:44:31 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-15 17:28:42 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-14_A_02.dat                
508724700 A 3 -0.3988909148956933 8.082258026651224e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508725000 A 3 -0.3989380459113643 8.108943154267077e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508725300 A 3 -0.3989851765037551 8.102271872363113e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508725600 A 3 -0.399032306802806 8.095600590459151e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508725900 A 3 -0.3990794369030555 8.082258026651224e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508726200 A 3 -0.3991265667547492 8.065579821891317e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508726500 A 3 -0.3991736964803427 8.085593667603206e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508726800 A 3 -0.3992208260747249 8.078922385699243e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508727100 A 3 -0.3992679557206912 8.038894694275464e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508727400 A 3 -0.3993150854092161 8.108943154267077e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508727700 A 3 -0.3993622152542565 8.068915462843298e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508728000 A 3 -0.3994093449281541 8.072251103795279e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508728300 A 3 -0.3994564745057533 8.11561443617104e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508728600 A 3 -0.3995036041605141 8.062244180939336e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508728900 A 3 -0.3995507341826816 8.072251103795279e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508729200 A 3 -0.3995978645800085 8.062244180939336e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508729500 A 3 -0.3996449953081596 8.065579821891317e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508729800 A 3 -0.3996921262121153 8.068915462843298e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508730100 A 3 -0.3997392571619096 8.082258026651224e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508730400 A 3 -0.3997863880268356 8.098936231411133e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508730700 A 3 -0.399833518632203 8.075586744747262e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508731000 A 3 -0.3998806488994601 8.055572899035373e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508731300 A 3 -0.3999277789777477 8.042230335227447e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508731600 A 3 -0.3999749088121768 8.048901617131409e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508731900 A 3 -0.4000220384064563 8.068915462843298e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508732200 A 3 -0.4000691678982981 8.045565976179428e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508732500 A 3 -0.4001162973078867 8.042230335227447e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508732800 A 3 -0.4001634269656865 8.045565976179428e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
