PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipTIM1XF            : 23                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: tim1a2tim1b.c 1.12 03/13/12 22:29:12 rl0 $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : OBDH/IPU                                        
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015404.000000 (2014-01-14 23:50:04.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102994.000000 (2014-01-16 00:09:54.00)       
NUMBER OF DATA RECORDS        : 87591                                           
PRODUCT CREATE START TIME(UTC): 2014-01-16 04:32:30 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-16 04:32:30 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TIM1A<-TIM1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1A<-2014-01-16 04:30:48 by rl02              
INPUT FILE NAME               : ILG1A<-ILG1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : ILG1A<-2014-01-16 02:01:03 by rl02              
END OF HEADER                                                                   
443015647 B 3 443015647 0 36035 36035 00000000
443015648 B 3 443015648 0 36036 36036 00000000
443015649 B 3 443015649 0 36037 36037 00000000
443015650 B 3 443015650 0 36038 36038 00000000
443015651 B 3 443015651 0 36039 36039 00000000
443015652 B 3 443015652 0 36040 36040 00000000
443015653 B 3 443015653 0 36041 36041 00000000
443015654 B 7 443015654 0 36042 36042 00000000
443015655 B 3 443015655 0 36043 36043 00000000
443015656 B 3 443015656 0 36044 36044 00000000
443015657 B 3 443015657 0 36045 36045 00000000
443015658 B 3 443015658 0 36046 36046 00000000
443015659 B 3 443015659 0 36047 36047 00000000
443015660 B 3 443015660 0 36048 36048 00000000
443015661 B 3 443015661 0 36049 36049 00000000
443015662 B 3 443015662 0 36050 36050 00000000
443015663 B 3 443015663 0 36051 36051 00000000
443015664 B 7 443015664 0 36052 36052 00000000
443015665 B 3 443015665 0 36053 36053 00000000
443015666 B 3 443015666 0 36054 36054 00000000
443015667 B 3 443015667 0 36055 36055 00000000
443015668 B 3 443015668 0 36056 36056 00000000
443015669 B 3 443015669 0 36057 36057 00000000
443015670 B 3 443015670 0 36058 36058 00000000
443015671 B 3 443015671 0 36059 36059 00000000
443015672 B 3 443015672 0 36060 36060 00000000
443015673 B 3 443015673 0 36061 36061 00000000
443015674 B 7 443015674 0 36062 36062 00000000
443015675 B 3 443015675 0 36063 36063 00000000
443015676 B 3 443015676 0 36064 36064 00000000
443015677 B 3 443015677 0 36065 36065 00000000
443015678 B 3 443015678 0 36066 36066 00000000
443015679 B 3 443015679 0 36067 36067 00000000
443015680 B 3 443015680 0 36068 36068 00000000
443015681 B 3 443015681 0 36069 36069 00000000
443015682 B 3 443015682 0 36070 36070 00000000
443015683 B 3 443015683 0 36071 36071 00000000
443015684 B 7 443015684 0 36072 36072 00000000
443015685 B 3 443015685 0 36073 36073 00000000
443015686 B 3 443015686 0 36074 36074 00000000
443015687 B 3 443015687 0 36075 36075 00000000
443015688 B 3 443015688 0 36076 36076 00000000
443015689 B 3 443015689 0 36077 36077 00000000
443015690 B 3 443015690 0 36078 36078 00000000
443015691 B 3 443015691 0 36079 36079 00000000
443015692 B 3 443015692 0 36080 36080 00000000
443015693 B 3 443015693 0 36081 36081 00000000
443015694 B 7 443015694 0 36082 36082 00000000
443015695 B 3 443015695 0 36083 36083 00000000
443015696 B 3 443015696 0 36084 36084 00000000
443015697 B 3 443015697 0 36085 36085 00000000
443015698 B 3 443015698 0 36086 36086 00000000
443015699 B 3 443015699 0 36087 36087 00000000
443015700 B 3 443015700 0 36088 36088 00000000
443015701 B 3 443015701 0 36089 36089 00000000
443015702 B 3 443015702 0 36090 36090 00000000
443015703 B 3 443015703 0 36091 36091 00000000
443015704 B 7 443015704 0 36092 36092 00000000
443015705 B 3 443015705 0 36093 36093 00000000
443015706 B 3 443015706 0 36094 36094 00000000
443015707 B 3 443015707 0 36095 36095 00000000
443015708 B 3 443015708 0 36096 36096 00000000
443015709 B 3 443015709 0 36097 36097 00000000
443015710 B 3 443015710 0 36098 36098 00000000
443015711 B 3 443015711 0 36099 36099 00000000
443015712 B 3 443015712 0 36100 36100 00000000
443015713 B 3 443015713 0 36101 36101 00000000
443015714 B 7 443015714 0 36102 36102 00000000
443015715 B 3 443015715 0 36103 36103 00000000
443015716 B 3 443015716 0 36104 36104 00000000
443015717 B 3 443015717 0 36105 36105 00000000
443015718 B 3 443015718 0 36106 36106 00000000
443015719 B 3 443015719 0 36107 36107 00000000
443015720 B 3 443015720 0 36108 36108 00000000
443015721 B 3 443015721 0 36109 36109 00000000
443015722 B 3 443015722 0 36110 36110 00000000
443015723 B 3 443015723 0 36111 36111 00000000
443015724 B 7 443015724 0 36112 36112 00000000
443015725 B 3 443015725 0 36113 36113 00000000
443015726 B 3 443015726 0 36114 36114 00000000
443015727 B 3 443015727 0 36115 36115 00000000
443015728 B 3 443015728 0 36116 36116 00000000
443015729 B 3 443015729 0 36117 36117 00000000
443015730 B 3 443015730 0 36118 36118 00000000
443015731 B 3 443015731 0 36119 36119 00000000
443015732 B 3 443015732 0 36120 36120 00000000
443015733 B 3 443015733 0 36121 36121 00000000
443015734 B 7 443015734 0 36122 36122 00000000
443015735 B 3 443015735 0 36123 36123 00000000
443015736 B 3 443015736 0 36124 36124 00000000
443015737 B 3 443015737 0 36125 36125 00000000
443015738 B 3 443015738 0 36126 36126 00000000
443015739 B 3 443015739 0 36127 36127 00000000
443015740 B 3 443015740 0 36128 36128 00000000
443015741 B 3 443015741 0 36129 36129 00000000
443015742 B 3 443015742 0 36130 36130 00000000
443015743 B 3 443015743 0 36131 36131 00000000
443015744 B 7 443015744 0 36132 36132 00000000
443015745 B 3 443015745 0 36133 36133 00000000
443015746 B 3 443015746 0 36134 36134 00000000
443015747 B 3 443015747 0 36135 36135 00000000
443015748 B 3 443015748 0 36136 36136 00000000
443015749 B 3 443015749 0 36137 36137 00000000
443015750 B 3 443015750 0 36138 36138 00000000
443015751 B 3 443015751 0 36139 36139 00000000
443015752 B 3 443015752 0 36140 36140 00000000
443015753 B 3 443015753 0 36141 36141 00000000
443015754 B 7 443015754 0 36142 36142 00000000
443015755 B 3 443015755 0 36143 36143 00000000
443015756 B 3 443015756 0 36144 36144 00000000
443015757 B 3 443015757 0 36145 36145 00000000
443015758 B 3 443015758 0 36146 36146 00000000
443015759 B 3 443015759 0 36147 36147 00000000
443015760 B 3 443015760 0 36148 36148 00000000
443015761 B 3 443015761 0 36149 36149 00000000
443015762 B 3 443015762 0 36150 36150 00000000
443015763 B 3 443015763 0 36151 36151 00000000
443015764 B 7 443015764 0 36152 36152 00000000
443015765 B 3 443015765 0 36153 36153 00000000
443015766 B 3 443015766 0 36154 36154 00000000
443015767 B 3 443015767 0 36155 36155 00000000
443015768 B 3 443015768 0 36156 36156 00000000
443015769 B 3 443015769 0 36157 36157 00000000
443015770 B 3 443015770 0 36158 36158 00000000
443015771 B 3 443015771 0 36159 36159 00000000
443015772 B 3 443015772 0 36160 36160 00000000
443015773 B 3 443015773 0 36161 36161 00000000
443015774 B 7 443015774 0 36162 36162 00000000
443015775 B 3 443015775 0 36163 36163 00000000
443015776 B 3 443015776 0 36164 36164 00000000
443015777 B 3 443015777 0 36165 36165 00000000
443015778 B 3 443015778 0 36166 36166 00000000
443015779 B 3 443015779 0 36167 36167 00000000
443015780 B 3 443015780 0 36168 36168 00000000
443015781 B 3 443015781 0 36169 36169 00000000
443015782 B 3 443015782 0 36170 36170 00000000
443015783 B 3 443015783 0 36171 36171 00000000
443015784 B 7 443015784 0 36172 36172 00000000
443015785 B 3 443015785 0 36173 36173 00000000
443015786 B 3 443015786 0 36174 36174 00000000
443015787 B 3 443015787 0 36175 36175 00000000
443015788 B 3 443015788 0 36176 36176 00000000
443015789 B 3 443015789 0 36177 36177 00000000
443015790 B 3 443015790 0 36178 36178 00000000
443015791 B 3 443015791 0 36179 36179 00000000
443015792 B 3 443015792 0 36180 36180 00000000
443015793 B 3 443015793 0 36181 36181 00000000
443015794 B 7 443015794 0 36182 36182 00000000
443015795 B 3 443015795 0 36183 36183 00000000
