PRODUCER AGENCY               : NASA                                            
443016280 -380580.792278028 -1.725763802146307 0.000707085523320268 -444293.2087181563 -0.0008200054444441306 3.018956090960255e-07 1.300802216603824e-09 2.889486785870638 2.364165425664773e-06 -8.4755701254402e-08 671 651 655 670  00000000
443016285 -380589.4121915341 -1.722188228725536 0.0007230757192881348 -444293.2087126232 -0.0008184797112547889 3.083968184675442e-07 1.29963448334003e-09 2.889483115475785 -5.491547634095843e-06 -1.57671883831029e-06 660 643 655 670  00000000
443016290 -380598.0140309318 -1.718534938931128 0.0007382775703026063 -444293.208703489 -0.0008169214949135325 3.148874422900516e-07 1.297547454093784e-09 2.889464011929217 2.562429312602289e-06 3.187202284450027e-06 660 643 647 652  00000000
443016295 -380606.5974102735 -1.714803416408441 0.0007542344869820242 -444293.208695529 -0.0008153308127250657 3.21388040749792e-07 1.29863107254285e-09 2.889488811086565 1.925282248622073e-06 -2.383921568365143e-06 637 617 647 652  00000000
443016300 -380615.1619368729 -1.710994663238126 0.0007693901892743565 -444293.2086875904 -0.0008137077698672296 3.278027072553595e-07 1.270799624311013e-09 2.889484639593659 -3.87496248157545e-07 7.612969585429412e-07 637 617 632 626  00000000
443016305 -380623.7072262645 -1.707107860556695 0.0007852105176910528 -444293.2086818636 -0.0008120527804797734 3.342203440930855e-07 1.299704450549793e-09 2.889480415644126 -3.164314518495432e-06 -9.626345786884772e-07 638 618 632 626  00000000
443016310 -380632.2328872488 -1.703143833333218 0.0008004914820306097 -444293.2086755411 -0.0008103654045413176 3.407279678573879e-07 1.299281554210945e-09 2.889469019184771 1.34451049477094e-06 1.820482018877992e-06 638 618 629 626  00000000
443016315 -380640.7385347752 -1.699102152852012 0.0008160944465392932 -444293.2086716014 -0.0008086455194701427 3.472288399225018e-07 1.301970460171314e-09 2.889483761609856 1.651636644988826e-06 -1.191394503441967e-06 569 544 629 626  00000100
443016320 -380649.2237806701 -1.694983388891346 0.0008314886106762532 -444293.2086663719 -0.000806893093225276 3.53742859720092e-07 1.303561841975278e-09 2.889483977969686 -9.158978150254019e-09 3.744498216351927e-07 569 544 563 544  00000100
443016325 -380657.6882387922 -1.690786852333611 0.0008470922780378318 -444293.2086612193 -0.0008051080759769346 3.602657531867158e-07 1.305598990600668e-09 2.889486057353797 2.688681096582234e-07 -1.79813297682098e-07 629 606 563 544  00000100
443016330 -380666.131519859 -1.68651267546116 0.000862570833232687 -444293.2086578636 -0.0008032904189070627 3.667987394812811e-07 1.307595953662877e-09 2.889486620111455 2.324270605876435e-07 9.973326368708251e-08 629 606 626 620  00000100
443016335 -380674.5532360837 -1.682160641310793 0.0008783831796916365 -444293.2086584041 -0.0008014400720235348 3.73341645784542e-07 1.309553157054616e-09 2.889488468384053 4.510665510055551e-07 5.735003152162282e-08 660 644 626 620  00000100
443016340 -380682.9529929693 -1.677729080881771 0.0008940240923347661 -444293.208654694 -0.0007995569865083394 3.798941110253061e-07 1.311409804880874e-09 2.889492202762331 1.065382315191042e-06 5.802276087185586e-08 660 644 648 652  00000100
443016345 -380691.3303985859 -1.673219910743321 0.0009099077104252896 -444293.2086507663 -0.0007976411164228313 3.864552506639382e-07 1.313027451183264e-09 2.889495786430564 -7.757856413937716e-08 -4.108080500497918e-07 594 571 648 652  00000100
443016350 -380699.6850571765 -1.66863038647535 0.0009257076607010711 -444293.2086427403 -0.0007956924197299961 3.930248383298663e-07 1.314610322281509e-09 2.889492996673053 -2.832850870915591e-07 3.877231246308195e-07 594 571 592 578  00000000
443016355 -380708.016572373 -1.663962428287632 0.0009416050105465354 -444293.2086336108 -0.0007937108629553725 3.995982376301666e-07 1.315398870853027e-09 2.889495826321295 1.018113584170968e-06 1.027203018941933e-08 670 659 592 578  00000000
443016360 -380716.3245470196 -1.659213932159459 0.0009577985120419613 -444293.2086179575 -0.0007916964038914882 4.061904466941211e-07 1.320809975774731e-09 2.889500621268668 7.865596028076854e-07 -1.82032965446113e-07 670 659 661 686  00000000
443016365 -380724.6085776084 -1.654385159922299 0.0009735795012601323 -444293.2085917448 -0.0007896489556277883 4.127843991852814e-07 1.31611802043886e-09 2.889500756246056 -6.332827962479991e-07 -2.577173310256285e-08 684 672 661 686  00000000
443016370 -380732.8682683632 -1.649477869468124 0.0009895061742770253 -444293.2085582435 -0.0007875685870934409 4.193632420683088e-07 1.316037605569212e-09 2.889501042508762 9.26625018833141e-07 1.303675673760222e-07 684 672 667 699  00000000
443016375 -380741.1032211846 -1.64448987898763 0.001005557344988978 -444293.2085351605 -0.0007854553233027898 4.259412566774973e-07 1.314926517871353e-09 2.889502227054328 -8.621598365903633e-07 -2.659404015300774e-07 678 662 667 699  00000000
443016380 -380749.3130356882 -1.639422801496577 0.00102130123280851 -444293.2085076434 -0.0007833091861086505 4.325124155083039e-07 1.313453414081048e-09 2.889500633983774 8.965057418291674e-07 4.255070943837738e-07 678 662 662 683  00000000
443016385 -380757.4973175462 -1.634276718284526 0.001037181426189492 -444293.2084621277 -0.0007811302141788638 4.390745575990101e-07 1.311297244799685e-09 2.889505047645563 1.287879565997518e-07 -3.628392281787468e-07 678 663 662 683  00000000
443016390 -380765.6556697187 -1.629050969050718 0.001052974432419786 -444293.2084070989 -0.0007789184611663296 4.456243071108508e-07 1.30848811531508e-09 2.889504400470768 1.712874938060762e-07 2.363731999895691e-07 678 663 665 697  00000000
443016395 -380773.7876987898 -1.62374784806753 0.001068383158604749 -444293.2083526209 -0.0007766739974120638 4.521582708803418e-07 1.304978781057968e-09 2.889506612166472 2.75561334924044e-07 -2.275284360178265e-07 672 655 665 697  00000000
