PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015700.000000 (2014-01-14 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102700.000000 (2014-01-16 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:29:01 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:29:01 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-16_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-16 02:03:36 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-15_B_02.dat                
443048400 B 4 -0.009240409314608481 8.135628281882928e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443048700 B 4 -0.009245081823283676 8.108943154267077e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443049000 B 4 -0.009249754215804559 8.088929308555188e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443049300 B 4 -0.009254426605264977 8.128956999978966e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443049600 B 4 -0.009259099257407529 8.088929308555188e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443049900 B 4 -0.009263772138397467 8.018880848563575e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443050200 B 4 -0.00926844504433043 8.032223412371502e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443050500 B 4 -0.009273117980434025 8.068915462843298e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443050800 B 4 -0.009277790845778072 8.072251103795279e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443051100 B 4 -0.009282463452459406 8.065579821891317e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443051400 B 4 -0.009287135847684381 8.065579821891317e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443051700 B 4 -0.009291808115253869 8.105607513315096e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443052000 B 4 -0.009296480386594854 8.085593667603206e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443052300 B 4 -0.009301152669464222 8.108943154267077e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443052600 B 4 -0.009305825045186716 8.088929308555188e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443052900 B 4 -0.009310497529702332 8.068915462843298e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443053200 B 4 -0.009315170108497242 8.102271872363113e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443053500 B 4 -0.009319842692050072 8.075586744747262e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443053800 B 4 -0.009324515282009022 8.065579821891317e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443054100 B 4 -0.009329187773114506 8.062244180939336e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443054400 B 4 -0.00933386014333876 8.025552130467539e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443054700 B 4 -0.009338532473326671 8.02888777141952e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443055000 B 4 -0.009343204993158823 8.045565976179428e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443055300 B 4 -0.009347877788723414 8.062244180939336e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443055600 B 4 -0.009352550725785521 8.045565976179428e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443055900 B 4 -0.009357223690917422 8.012209566659613e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443056200 B 4 -0.009361896579742339 8.02888777141952e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443056500 B 4 -0.009366569275766304 8.062244180939336e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443056800 B 4 -0.009371241774688345 8.002202643803668e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443057100 B 4 -0.0093759141406205 8.018880848563575e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443057400 B 4 -0.009380586408369052 7.998867002851687e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443057700 B 4 -0.009385258566170621 8.02888777141952e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443058000 B 4 -0.009389930712350407 8.058908539987353e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443058300 B 4 -0.009394603042226089 8.038894694275464e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443058600 B 4 -0.009399275452583433 8.025552130467539e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443058900 B 4 -0.009403947921233283 8.015545207611594e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443059200 B 4 -0.009408620369549847 8.025552130467539e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443059500 B 4 -0.009413292809278759 8.015545207611594e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443059800 B 4 -0.009417965128035695 8.02888777141952e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443060100 B 4 -0.009422637337832098 8.02888777141952e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443060400 B 4 -0.00942730965000662 8.018880848563575e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443060700 B 4 -0.009431982279448 8.055572899035373e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443061000 B 4 -0.009436655175617708 8.012209566659613e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443061300 B 4 -0.009441328126144588 8.012209566659613e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443061600 B 4 -0.009446000889233532 7.985524439043762e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443061900 B 4 -0.009450673414492376 7.948832388571964e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443062200 B 4 -0.009455345831085843 7.945496747619981e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443062500 B 4 -0.009460018028347533 7.988860079995741e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443062800 B 4 -0.009464690123136331 7.915475979052149e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443063100 B 4 -0.009469362065672759 7.965510593331871e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443063400 B 4 -0.009474034015022928 7.988860079995741e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443063700 B 4 -0.009478706038892728 8.072251103795279e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443064000 B 4 -0.009483378252634792 8.035559053323484e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443064300 B 4 -0.009488050565099257 8.032223412371502e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443064600 B 4 -0.009492722950894334 8.048901617131409e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443064900 B 4 -0.009497395420700586 8.035559053323484e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443065200 B 4 -0.009502067841071233 8.00887392570763e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443065500 B 4 -0.009506740160395202 8.015545207611594e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443065800 B 4 -0.009511412400107345 7.995531361899705e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443066100 B 4 -0.009516084884393016 7.948832388571964e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443066400 B 4 -0.009520757742831057 7.945496747619981e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443066700 B 4 -0.009525430808007754 7.908804697148186e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443067000 B 4 -0.009530103836059465 7.925482901908092e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443067300 B 4 -0.009534776680571658 7.91881162000413e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443067600 B 4 -0.009539449144863914 7.998867002851687e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443067900 B 4 -0.00954412135158607 8.012209566659613e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443068200 B 4 -0.009548793364514667 8.00887392570763e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443068500 B 4 -0.009553465303480693 8.02888777141952e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443068800 B 4 -0.009558137207860666 8.048901617131409e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
